"","Location","dt","Avg.Tem","Avg.Vol"
"372","Bulgaria",1783-12-01,-1.524,3.066
"373","Bulgaria",1784-01-01,-1.769,7.977
"374","Bulgaria",1784-02-01,-1.474,7.379
"375","Bulgaria",1784-03-01,4.159,4.024
"376","Bulgaria",1784-04-01,8.829,7.467
"377","Bulgaria",1784-05-01,15.58,2.874
"378","Bulgaria",1784-06-01,19.311,2.663
"379","Bulgaria",1784-07-01,21.845,4.704
"380","Bulgaria",1784-08-01,23.186,6.53
"381","Bulgaria",1784-09-01,17.21,4.568
"382","Bulgaria",1784-10-01,9.006,4.303
"383","Bulgaria",1784-11-01,5.616,2.65
"384","Bulgaria",1784-12-01,1.784,3.312
"385","Bulgaria",1785-01-01,-2.155,4.801
"386","Bulgaria",1785-02-01,-1.03,3.981
"387","Bulgaria",1785-03-01,-1.301,4.091
"388","Bulgaria",1785-04-01,7.581,3.141
"389","Bulgaria",1785-05-01,14.698,4.411
"390","Bulgaria",1785-06-01,18.826,3.896
"391","Bulgaria",1785-07-01,20.833,3.924
"392","Bulgaria",1785-08-01,21.384,3.638
"393","Bulgaria",1785-09-01,17.231,2.54
"394","Bulgaria",1785-10-01,10.043,2.957
"395","Bulgaria",1785-11-01,6.819,4.247
"396","Bulgaria",1785-12-01,0.801,2.454
"397","Bulgaria",1786-01-01,-1.75,2.849
"398","Bulgaria",1786-02-01,-0.306,3.011
"399","Bulgaria",1786-03-01,5.95,5.05
"400","Bulgaria",1786-04-01,10.844,3.976
"401","Bulgaria",1786-05-01,14.49,3.935
"402","Bulgaria",1786-06-01,18.76,2.255
"403","Bulgaria",1786-07-01,21.327,4.224
"404","Bulgaria",1786-08-01,20.37,6.751
"405","Bulgaria",1786-09-01,17.142,7.832
"406","Bulgaria",1786-10-01,8.962,2.348
"407","Bulgaria",1786-11-01,4.308,5.104
"408","Bulgaria",1786-12-01,-0.755,2.699
"409","Bulgaria",1787-01-01,-0.568,4.116
"410","Bulgaria",1787-02-01,0.987,4.825
"411","Bulgaria",1787-03-01,4.967,2.682
"412","Bulgaria",1787-04-01,8.439,3.197
"413","Bulgaria",1787-05-01,14.271,4.868
"414","Bulgaria",1787-06-01,20.158,4.607
"415","Bulgaria",1787-07-01,21.221,5.659
"416","Bulgaria",1787-08-01,21.553,4.273
"417","Bulgaria",1787-09-01,15.417,2.998
"418","Bulgaria",1787-10-01,11.484,6.695
"419","Bulgaria",1787-11-01,6.975,2.148
"420","Bulgaria",1787-12-01,2.575,3.972
"421","Bulgaria",1788-01-01,-0.151,2.48
"422","Bulgaria",1788-02-01,1.064,6.043
"423","Bulgaria",1788-03-01,6.374,3.334
"424","Bulgaria",1788-04-01,9.414,3.594
"425","Bulgaria",1788-05-01,14.85,2.458
"426","Bulgaria",1788-06-01,20.635,2.793
"427","Bulgaria",1788-07-01,24.228,4.367
"428","Bulgaria",1788-08-01,19.772,2.644
"429","Bulgaria",1788-09-01,17.759,2.222
"430","Bulgaria",1788-10-01,11.38,2.994
"431","Bulgaria",1788-11-01,5.043,3.027
"432","Bulgaria",1788-12-01,-4.435,3.678
"433","Bulgaria",1789-01-01,-1.078,5.294
"434","Bulgaria",1789-02-01,0.729,4.046
"435","Bulgaria",1789-03-01,2.549,4.088
"436","Bulgaria",1789-04-01,10.104,2.962
"437","Bulgaria",1789-05-01,17.749,3.634
"438","Bulgaria",1789-06-01,18.487,2.233
"439","Bulgaria",1789-07-01,22.473,3.248
"440","Bulgaria",1789-08-01,20.653,2.434
"441","Bulgaria",1789-09-01,17.783,2.303
"442","Bulgaria",1789-10-01,11.616,3.533
"443","Bulgaria",1789-11-01,6.511,2.123
"444","Bulgaria",1789-12-01,0.613,2.614
"445","Bulgaria",1790-01-01,-0.739,3.954
"446","Bulgaria",1790-02-01,1.968,4.193
